HOST_NEIGHBOURHOOD_LGA,MONTH_YEAR,DISTINCT_HOSTS,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Bayside,2020-05-01,1220,3978040,3260.688525
Bayside,2020-06-01,1200,3963238,3302.698333
Bayside,2020-07-01,1171,3818571,3260.948762
Bayside,2020-08-01,1051,2645104,2516.749762
Bayside,2020-09-01,1157,3020971,2611.038029
Bayside,2020-10-01,1140,3182548,2791.708772
Bayside,2020-11-01,1115,3077947,2760.490583
Bayside,2020-12-01,1128,3712892,3291.570922
Bayside,2021-01-01,1127,3953091,3507.622893
Bayside,2021-02-01,1110,3587429,3226.188288
Bayside,2021-03-01,1105,3935988,3420.477828
Bayside,2021-04-01,1058,3720048,3354.516068
Blacktown,2020-05-01,239,330061,1381.008368
Blacktown,2020-06-01,234,340493,1455.098291
Blacktown,2020-07-01,230,414430,1801.869565
Blacktown,2020-08-01,216,346524,1604.277778
Blacktown,2020-09-01,220,340840,1549.272727
Blacktown,2020-10-01,216,470233,2177.004630
Blacktown,2020-11-01,221,349799,1582.800905
Blacktown,2020-12-01,217,476068,2186.119816
Blacktown,2021-01-01,213,489663,2298.887324
Blacktown,2021-02-01,216,297654,1369.000000
Blacktown,2021-03-01,216,330265,1493.587963
Blacktown,2021-04-01,207,349180,1612.222222
Burwood,2020-05-01,169,542058,3207.443787
Burwood,2020-06-01,165,543581,3294.430303
Burwood,2020-07-01,161,499523,3102.627329
Burwood,2020-08-01,152,311841,2051.585526
Burwood,2020-09-01,158,352016,2227.949367
Burwood,2020-10-01,163,357775,2194.938650
Burwood,2020-11-01,153,317151,2072.882353
Burwood,2020-12-01,151,412201,2729.807947
Burwood,2021-01-01,149,410678,2756.228188
Burwood,2021-02-01,145,333907,2302.806897
Burwood,2021-03-01,143,374249,2617.125874
Burwood,2021-04-01,148,376566,2544.364865
Camden,2020-05-01,41,58003,1414.707317
Camden,2020-06-01,41,73105,1783.048780
Camden,2020-07-01,42,116480,2773.333333
Camden,2020-08-01,41,75977,1853.097561
Camden,2020-09-01,42,87637,2086.595238
Camden,2020-10-01,43,92962,2161.906977
Camden,2020-11-01,42,95454,2272.714286
Camden,2020-12-01,43,119254,2773.348837
Camden,2021-01-01,43,97364,2264.279070
Camden,2021-02-01,42,90197,2147.547619
Camden,2021-03-01,41,100522,2451.756098
Camden,2021-04-01,38,98440,2590.526316
Campbelltown,2020-05-01,75,153716,2049.546667
Campbelltown,2020-06-01,75,224621,2994.946667
Campbelltown,2020-07-01,73,257051,3521.246575
Campbelltown,2020-08-01,68,162906,2395.676471
Campbelltown,2020-09-01,71,124634,1755.408451
Campbelltown,2020-10-01,67,166383,2483.328358
Campbelltown,2020-11-01,68,141179,2076.161765
Campbelltown,2020-12-01,69,339303,4917.434783
Campbelltown,2021-01-01,69,339265,4916.884058
