LISTING_NEIGHBOURHOOD,MONTH_YEAR,ACTIVE_LISTINGS_RATE,MIN_PRICE,MAX_PRICE,MEDIAN_PRICE,AVG_PRICE,DISTINCT_HOSTS,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PER_CHANGE_ACTIVE_LISTINGS,PER_CHANGE_INACTIVE_LISTINGS,TOTAL_STAYS,AVG_ESTIMATED_REVENUE_PER_ACTIVE_LISTING
Bayside,2020-05-01,100.000000,0,15367,86,182.014851,1220,11.557400,92.058485,,,30899,2461.658416
Bayside,2020-06-01,100.000000,0,14478,84,178.743380,1200,11.250000,92.101378,-1.856400,,30393,2498.889029
Bayside,2020-07-01,100.000000,0,14376,81,180.901999,1171,12.382600,92.049383,-2.206800,,30624,2462.005803
Bayside,2020-08-01,100.000000,17,2904,79,110.696377,1051,12.940100,92.009153,-11.025100,,24945,1916.742029
Bayside,2020-09-01,100.000000,17,2904,79,109.028571,1157,12.100300,91.960784,11.594200,,28798,1961.669481
Bayside,2020-10-01,100.000000,17,2904,78,108.783212,1140,11.578900,92.087185,-1.753200,,30281,2103.468605
Bayside,2020-11-01,100.000000,14,2904,78.5,112.541638,1115,11.569500,92.329361,-2.379400,,27938,2083.918077
Bayside,2020-12-01,100.000000,15,2904,80,116.815807,1128,11.347500,92.124726,1.083300,,31826,2486.866711
Bayside,2021-01-01,100.000000,15,2904,80,128.832224,1127,10.736500,92.107301,0.602800,,31143,2631.884820
Bayside,2021-02-01,99.730300,15,2904,80,124.721433,1110,10.720700,92.029900,-1.531300,,28791,2421.277214
Bayside,2021-03-01,99.655400,15,2904,80,126.848548,1105,10.407200,92.067720,-2.231200,25.000000,29291,2613.850622
Bayside,2021-04-01,99.164300,15,2904,80,120.045646,1058,10.018900,92.248853,-1.521400,140.000000,28947,2492.330056
Blacktown,2020-05-01,100.000000,23,1099,63,90.301887,239,12.970700,89.920398,,,3628,1037.927673
Blacktown,2020-06-01,100.000000,23,1099,63,90.674267,234,13.675200,90.455026,-3.459100,,3816,1109.097720
Blacktown,2020-07-01,100.000000,23,2164,64.5,117.963455,230,14.782600,90.843575,-1.954400,,4365,1376.843854
Blacktown,2020-08-01,100.000000,20,2000,60,98.152482,216,13.425900,90.011696,-6.312300,,3318,1228.808511
Blacktown,2020-09-01,100.000000,20,2000,60,95.000000,220,13.636400,90.697143,2.482300,,3614,1179.377163
Blacktown,2020-10-01,100.000000,18,2000,64.5,98.964413,216,11.574100,91.224852,-2.768200,,4098,1673.427046
Blacktown,2020-11-01,100.000000,18,2000,61,92.807018,221,11.312200,91.059172,1.423500,,3409,1227.364912
Blacktown,2020-12-01,99.649100,22,2000,61.5,92.992958,217,11.520700,91.000000,-0.350900,,4423,1670.380282
Blacktown,2021-01-01,100.000000,22,2228,61.5,106.680702,213,10.328600,90.596591,0.352100,-100.000000,4095,1718.115789
Blacktown,2021-02-01,99.637700,22,2000,63.5,93.552727,216,10.185200,90.856287,-3.508800,,3299,1075.287273
Blacktown,2021-03-01,98.168500,22,2000,65,97.656716,216,10.648100,91.843750,-2.545500,400.000000,3457,1203.787313
Blacktown,2021-04-01,96.000000,22,2000,66,100.219697,207,10.144900,92.019608,-1.492500,120.000000,3540,1264.128788
Burwood,2020-05-01,100.000000,15,2440,70,148.549815,169,11.242600,89.480663,,,4615,2000.214022
Burwood,2020-06-01,100.000000,14,2440,69,130.946768,165,10.909100,89.494318,-2.952000,,4224,2066.847909
Burwood,2020-07-01,100.000000,14,2711,70,145.566038,161,11.801200,89.615819,0.760500,,4398,1884.992453
Burwood,2020-08-01,100.000000,15,530,65.5,91.730612,152,10.526300,89.595238,-7.547200,,3757,1272.820408
Burwood,2020-09-01,100.000000,15,530,66.5,92.403042,158,10.126600,89.857923,7.346900,,4236,1338.463878
Burwood,2020-10-01,100.000000,15,530,66,90.030189,163,9.202500,89.157609,0.760500,,4367,1350.094340
Burwood,2020-11-01,100.000000,15,530,69.5,91.421260,153,9.803900,89.736196,-4.150900,,3888,1248.625984
Burwood,2020-12-01,100.000000,16,530,70,100.198413,151,9.933800,89.959064,-0.787400,,4599,1635.718254
Burwood,2021-01-01,100.000000,16,530,70,98.872510,149,10.067100,89.971591,-0.396800,,4641,1636.167331
Burwood,2021-02-01,100.000000,16,530,70,95.665217,145,9.655200,90.440476,-8.366500,,3999,1451.769565
Burwood,2021-03-01,100.000000,16,530,70,96.941176,143,10.489500,90.703030,-3.913000,,4248,1693.434389
Burwood,2021-04-01,100.000000,16,530,72.5,100.535088,148,11.486500,90.197605,3.167400,,4036,1651.605263
Camden,2020-05-01,100.000000,35,350,87.5,107.632653,41,24.390200,94.366667,,,606,1183.734694
Camden,2020-06-01,100.000000,32,350,87.5,106.760000,41,24.390200,94.823529,2.040800,,657,1462.100000
Camden,2020-07-01,100.000000,31,2157,94.5,232.660000,42,33.333300,94.969697,0.000000,,820,2329.600000
Camden,2020-08-01,100.000000,35,400,97,112.361702,41,31.707300,95.151515,-6.000000,,695,1616.531915
Camden,2020-09-01,100.000000,35,400,92,110.479167,42,33.333300,95.205882,2.127700,,770,1825.770833
Camden,2020-10-01,100.000000,35,425,100,114.396226,43,32.558100,95.117647,10.416700,,814,1754.000000
Camden,2020-11-01,100.000000,35,425,100,122.679245,42,30.952400,94.882353,0.000000,,841,1801.018868
Camden,2020-12-01,100.000000,35,472,100,127.603774,43,30.232600,95.028571,0.000000,,930,2250.075472
Camden,2021-01-01,100.000000,35,448,102.5,127.226415,43,34.883700,94.406250,0.000000,,855,1837.056604
Camden,2021-02-01,100.000000,35,427,100,125.711538,42,35.714300,94.393939,-1.886800,,744,1734.557692
Camden,2021-03-01,100.000000,35,425,102.5,126.803922,41,36.585400,94.393939,-1.923100,,838,1971.019608
Camden,2021-04-01,100.000000,35,425,94,109.240000,38,34.210500,94.967742,-1.960800,,922,1968.800000
Campbelltown,2020-05-01,100.000000,20,2500,75,156.285714,75,26.666700,91.933333,,,1850,1291.731092
Campbelltown,2020-06-01,100.000000,20,2500,80,161.722689,75,25.333300,92.288889,0.000000,,1889,1887.571429
Campbelltown,2020-07-01,100.000000,20,2500,83,240.858407,73,26.027400,92.333333,-5.042000,,1770,2274.787611
Campbelltown,2020-08-01,100.000000,25,2500,80.5,149.127660,68,27.941200,92.506849,-16.814200,,1173,1733.042553
Campbelltown,2020-09-01,100.000000,25,510,74,114.860000,71,26.760600,92.467532,6.383000,,1528,1246.340000
Campbelltown,2020-10-01,100.000000,25,659,74,114.781250,67,26.865700,90.779221,-4.000000,,1683,1733.156250
Campbelltown,2020-11-01,100.000000,25,660,78.5,120.747475,68,26.470600,90.428571,3.125000,,1599,1426.050505
Campbelltown,2020-12-01,100.000000,24,2243,83.5,174.362745,69,23.188400,89.578947,3.030300,,1867,3326.500000
Campbelltown,2021-01-01,100.000000,21,8000,83.5,237.427184,69,26.087000,89.840000,0.980400,,1977,3293.834951
Campbelltown,2021-02-01,99.065400,20,10000,83,268.245283,73,27.397300,90.298701,2.912600,,1780,3396.575472
Campbelltown,2021-03-01,99.065400,22,10000,82,265.075472,72,27.777800,90.556962,0.000000,0.000000,2097,3462.716981
Campbelltown,2021-04-01,99.056600,25,760,83,130.257143,71,23.943700,90.716049,-0.943400,0.000000,1930,2231.000000
Canada Bay,2020-05-01,100.000000,24,2440,110,154.165948,384,9.895800,92.894915,,,8923,2836.644397
Canada Bay,2020-06-01,100.000000,24,2440,109.5,154.238739,372,9.677400,92.466431,-4.310300,,8875,2936.110360
Canada Bay,2020-07-01,100.000000,24,2711,105,155.978774,359,10.306400,92.869403,-4.504500,,8719,3212.167453
Canada Bay,2020-08-01,100.000000,25,1450,103.5,148.893557,310,10.967700,94.000000,-15.801900,,7167,2866.254902
Canada Bay,2020-09-01,100.000000,25,1450,100,145.702500,345,9.565200,93.876494,12.044800,,8214,2895.402500
Canada Bay,2020-10-01,100.000000,25,1100,100,141.863636,343,9.037900,93.987854,-1.000000,,8666,3097.512626
Canada Bay,2020-11-01,100.000000,21,1100,100,141.172043,322,8.695700,93.703390,-6.060600,,7758,2887.440860
Canada Bay,2020-12-01,100.000000,21,3300,104.5,157.181102,323,8.978300,93.136170,2.419400,,8552,3385.587927
Canada Bay,2021-01-01,100.000000,21,3586,100,155.705729,327,8.562700,93.438298,0.787400,,8390,3378.106771
Canada Bay,2021-02-01,99.738900,21,3300,100,153.068063,322,8.695700,92.829167,-0.520800,,7995,3206.447644
Canada Bay,2021-03-01,99.737500,21,3300,100,154.200000,321,8.411200,92.622881,-0.523600,0.000000,8366,3437.539474
Canada Bay,2021-04-01,99.466700,25,3300,109.5,158.734584,305,7.541000,93.695652,-1.842100,100.000000,7795,3306.726542
