PROPERTY_TYPE,ROOM_TYPE,ACCOMODATES,MONTH_YEAR,ACTIVE_LISTINGS_RATE,MIN_PRICE,MAX_PRICE,MEDIAN_PRICE,AVG_PRICE,DISTINCT_HOSTS,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PER_CHANGE_ACTIVE_LISTINGS,PER_CHANGE_INACTIVE_LISTINGS,TOTAL_STAYS,AVG_ESTIMATED_REVENUE_PER_ACTIVE_LISTING
Aparthotel,Entire home/apt,2,2020-05-01,100.000000,165,165,165,165.000000,1,0.000000,94.000000,,,0,0.000000
Aparthotel,Entire home/apt,2,2020-06-01,100.000000,164,164,164,164.000000,1,0.000000,94.000000,0.000000,,0,0.000000
Aparthotel,Entire home/apt,3,2020-06-01,100.000000,99,109,104,104.000000,1,0.000000,80.000000,,,5,61.875000
Aparthotel,Entire home/apt,3,2020-07-01,100.000000,98,108,103,103.000000,1,0.000000,73.571429,0.000000,,30,370.000000
Aparthotel,Entire home/apt,5,2020-05-01,100.000000,158,158,158,158.000000,1,0.000000,93.000000,,,28,4424.000000
Aparthotel,Entire home/apt,5,2020-06-01,100.000000,158,158,158,158.000000,1,0.000000,93.000000,0.000000,,14,2212.000000
Aparthotel,Entire home/apt,5,2020-07-01,100.000000,158,158,158,158.000000,1,0.000000,93.000000,0.000000,,13,2054.000000
Aparthotel,Hotel room,2,2020-05-01,100.000000,47,501,347.5,310.750000,2,0.000000,92.500000,,,8,888.500000
Aparthotel,Hotel room,2,2020-06-01,100.000000,48,501,348,311.250000,2,0.000000,92.500000,0.000000,,25,3018.000000
Aparthotel,Hotel room,2,2020-07-01,100.000000,196,500,500,398.666667,1,0.000000,97.333333,-25.000000,,15,2398.666667
Aparthotel,Hotel room,4,2020-05-01,100.000000,499,501,501,500.333333,2,0.000000,94.000000,,,0,0.000000
Aparthotel,Hotel room,4,2020-06-01,100.000000,499,501,501,500.333333,2,0.000000,94.000000,0.000000,,2,334.000000
Aparthotel,Hotel room,4,2020-07-01,100.000000,500,500,500,500.000000,1,0.000000,93.000000,-66.666700,,8,4000.000000
Aparthotel,Private room,2,2020-05-01,100.000000,80,351,130,172.750000,3,0.000000,92.666667,,,32,665.000000
Aparthotel,Private room,2,2020-06-01,100.000000,80,350,130,172.500000,3,0.000000,90.333333,0.000000,,61,1607.500000
Aparthotel,Private room,2,2020-07-01,100.000000,80,350,130,156.666667,3,0.000000,92.750000,50.000000,,35,543.333333
Aparthotel,Private room,3,2020-05-01,100.000000,139,139,139,139.000000,1,0.000000,100.000000,,,1,139.000000
Aparthotel,Private room,3,2020-06-01,100.000000,140,140,140,140.000000,1,0.000000,100.000000,0.000000,,1,140.000000
Aparthotel,Private room,3,2020-07-01,100.000000,140,140,140,140.000000,1,0.000000,100.000000,100.000000,,2,140.000000
Aparthotel,Private room,4,2020-05-01,100.000000,161,249,205,205.000000,2,0.000000,100.000000,,,31,3815.500000
Aparthotel,Private room,4,2020-06-01,100.000000,161,249,205,205.000000,2,0.000000,100.000000,0.000000,,60,6150.000000
Aparthotel,Private room,4,2020-07-01,100.000000,160,160,160,160.000000,1,0.000000,100.000000,0.000000,,2,160.000000
Apartment,Entire home/apt,1,2020-05-01,100.000000,20,804,98.5,126.147059,100,7.000000,92.921875,,,2468,2781.803922
Apartment,Entire home/apt,1,2020-06-01,100.000000,20,789,99,125.666667,100,7.000000,92.333333,0.000000,,2455,2744.764706
Apartment,Entire home/apt,1,2020-07-01,100.000000,20,2157,98.5,178.363636,86,6.976700,90.888889,-13.725500,,2050,4141.522727
Apartment,Entire home/apt,2,2020-05-01,100.000000,15,12001,130,221.760098,4646,12.204000,93.610658,,,127290,4053.079909
Apartment,Entire home/apt,2,2020-06-01,100.000000,14,12000,134,220.327273,4573,12.114600,93.585868,-1.905900,,128470,4032.836007
Apartment,Entire home/apt,2,2020-07-01,100.000000,14,12000,139,291.333608,3834,13.458500,93.613055,-13.440300,,109514,4427.275535
Apartment,Entire home/apt,3,2020-05-01,100.000000,15,2544,139.25,194.435758,1289,12.645500,92.548681,,,32388,3758.770224
Apartment,Entire home/apt,3,2020-06-01,100.000000,14,2456,140,194.436718,1270,12.519700,92.832866,-2.243400,,32505,3791.315716
Apartment,Entire home/apt,3,2020-07-01,100.000000,14,2711,141,171.169404,1047,14.708700,92.919592,-19.541000,,26856,3773.899741
Apartment,Entire home/apt,4,2020-05-01,100.000000,0,10000,181,238.834586,3909,12.791000,92.778051,,,106656,4856.937818
Apartment,Entire home/apt,4,2020-06-01,100.000000,0,10000,180,236.952791,3829,12.614300,92.816766,-3.149800,,107489,5127.440621
Apartment,Entire home/apt,4,2020-07-01,100.000000,0,7000,180,243.235747,3140,13.535000,92.723456,-18.296300,,88264,5041.002825
Apartment,Entire home/apt,5,2020-05-01,100.000000,31,2440,194,240.553644,764,14.136100,90.562579,,,19216,4527.402834
Apartment,Entire home/apt,5,2020-06-01,100.000000,30,2440,197.5,240.607407,749,14.285700,90.795699,-4.352200,,19165,4759.216931
Apartment,Entire home/apt,5,2020-07-01,100.000000,30,2711,199,243.822647,615,15.447200,90.756944,-22.433900,,15781,5065.960437
Apartment,Entire home/apt,6,2020-05-01,100.000000,28,6000,219,310.138911,884,18.099500,91.898833,,,23409,5310.813733
Apartment,Entire home/apt,6,2020-06-01,100.000000,27,5999,220,314.731113,862,17.517400,92.191251,-2.841400,,24267,5874.129163
Apartment,Entire home/apt,6,2020-07-01,100.000000,27,5145,219,315.265166,729,19.341600,92.282555,-16.978100,,20697,6003.989237
Apartment,Entire home/apt,7,2020-05-01,100.000000,67,2001,250,320.866667,123,18.699200,91.259259,,,2453,4619.981818
Apartment,Entire home/apt,7,2020-06-01,100.000000,68,1999,259.5,341.643357,112,18.750000,91.666667,-13.333300,,2260,4707.573427
Apartment,Entire home/apt,7,2020-07-01,100.000000,50,1041,250,304.478992,98,22.449000,91.346939,-16.783200,,1993,4698.151261
Apartment,Entire home/apt,8,2020-05-01,100.000000,75,10000,248.5,442.072165,130,21.538500,91.284848,,,2798,7710.046392
Apartment,Entire home/apt,8,2020-06-01,100.000000,75,10000,249,449.846995,125,20.800000,91.760000,-5.670100,,2903,7536.868852
Apartment,Entire home/apt,8,2020-07-01,100.000000,75,10000,250,499.681250,105,21.904800,90.600000,-12.568300,,2390,8358.162500
Apartment,Entire home/apt,9,2020-05-01,100.000000,80,700,219.5,257.885714,26,26.923100,90.437500,,,620,4629.771429
Apartment,Entire home/apt,9,2020-06-01,100.000000,80,699,222,258.058824,24,29.166700,90.466667,-2.857100,,600,4448.852941
